Variable/Field Name,Matrix Group Name,Minimal (Required),Mandatory,Section,Field Type,Label,Code,Default,Validation Type,Validation Min,Validation Max,Field Note,Branching Logic,FHIR Resource,FHIR - Question Coding,FHIR - Answer Coding,Note
fhcc,comorb,No,No,Observation,radio,Fibrolamellar hepatocellular carcinoma,0; yes | 1; no | 2; unknown,2,,,,,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""253018005"",""display"":""Fibrolamellar hepatocellular carcinoma (disorder)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
fhs,comorb,No,No,Observation,radio,Focal hepatic steatosis,0; yes | 1; no | 2; unknown,2,,,,,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""197321007:116676008=860692001"",""display"":""Steatosis of liver where Associated morphology = Focal damage""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
fnh,comorb,No,No,Observation,radio,Focal nodular hyperplasia (FNH),0; yes | 1; no | 2; unknown,2,,,,,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""278527001"",""display"":""Focal nodular hyperplasia of liver""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
hemangioma,comorb,No,No,Observation,radio,Hemangioma,0; yes | 1; no | 2; unknown,2,,,,,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""400210000"",""display"":""Hemangioma (disorder)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
abscess,comorb,No,No,Observation,radio,Hepatic abscess,0; yes | 1; no | 2; unknown,2,,,,,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""27916005"",""display"":""Abscess of liver (disorder)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
adenoma,comorb,No,No,Observation,radio,Hepatic adenoma,0; yes | 1; no | 2; unknown,2,,,,,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""424263008"",""display"":""Adenoma of liver (disorder)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
pha,comorb,No,No,Observation,radio,Hepatic angiosarcoma,0; yes | 1; no | 2; unknown,2,,,,,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""109844006"",""display"":""Angiosarcoma of liver (disorder)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
hhcyst,comorb,No,No,Observation,radio,Hepatic hydatid cyst,0; yes | 1; no | 2; unknown,2,,,,,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""26103000"",""display"":""Echinococcosis of liver (disorder)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
hcc,comorb,No,No,Observation,radio,Hepatocellular carcinoma,0; yes | 1; no | 2; unknown,2,,,,,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""109841003"",""display"":""Liver cell carcinoma (disorder)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
cirrhosis,comorb,No,No,Observation,radio,Liver cirrhosis,0; yes | 1; no | 2; unknown,2,,,,,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""19943007"",""display"":""Cirrhosis of liver (disorder)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
phl,comorb,No,No,Observation,radio,Primary hepatic lymphoma (PHL),0; yes | 1; no | 2; unknown,2,,,,,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""1153383006"",""display"":""Malignant lymphoma of liver (disorder)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
shcyst,comorb,No,No,Observation,radio,Simple hepatic cysts,0; yes | 1; no | 2; unknown,2,,,,,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""85057007"",""display"":""Cyst of liver (disorder)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
thad,comorb (end),No,No,Observation,radio,Transient hepatic attenuation differences,0; yes | 1; no | 2; unknown,2,,,,,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""398192003"",""display"":""Co-morbid conditions""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",We could not find a proper ontology for THAD that followed FHIR standards.
tnm_pt,ptnm (start),Yes ([histopat] = '0'),No,Observation,dropdown,pT classification of the primary tumour,0; pTX | 1; pT0 | 2; pTis | 3; pT1 | 4; pT2 | 5; pT3 | 6; pT4 | 7; pT4a | 8; pT4b,,,,,"MINIMAL - Preferably pathological pT, if not clinical cT",[histopat] = '0',Observation,"{""system"":""http://snomed.info/sct"",""code"":""1222589003"",""display"":""American Joint Committee on Cancer pathological T category allowable value (qualifier value)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""1228950008"",""display"":""pTX""},1:{""system"":""http://snomed.info/sct"",""code"":""1228951007"",""display"":""pT0""},2:{""system"":""http://snomed.info/sct"",""code"":""1228953005"",""display"":""pTis""},3:{""system"":""http://snomed.info/sct"",""code"":""1228957006"",""display"":""pT1""},4:{""system"":""http://snomed.info/sct"",""code"":""1229852009"",""display"":""pT2""},5:{""system"":""http://snomed.info/sct"",""code"":""1229859000"",""display"":""pT3""},6:{""system"":""http://snomed.info/sct"",""code"":""1229864001"",""display"":""pT4""},7:{""system"":""http://snomed.info/sct"",""code"":""1229865000"",""display"":""pT4a""},8:{""system"":""http://snomed.info/sct"",""code"":""1229866004"",""display"":""pT4b""}}",
tnm_pn,ptnm,Yes ([histopat] = '0'),No,Observation,dropdown,pN classification of the primary tumour,0; pNx | 1; pN0 | 2; pN1 | 3; pN2,,,,,"MINIMAL - Preferably pathological pN, if not clinical cN",[histopat] = '0',Observation,"{""system"":""http://snomed.info/sct"",""code"":""1222590007"",""display"":""American Joint Committee on Cancer pathological N category allowable value (qualifier value)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""1229945006"",""display"":""pNX""},1:{""system"":""http://snomed.info/sct"",""code"":""1229947003"",""display"":""pN0""},2:{""system"":""http://snomed.info/sct"",""code"":""1229951001"",""display"":""pN1""},3:{""system"":""http://snomed.info/sct"",""code"":""1229957002"",""display"":""pN2""}}",
tnm_pm,ptnm (end),Yes ([histopat] = '0'),No,Observation,dropdown,pM classification of the primary tumour,0; pM0 | 1; pM1 | 2; pM1a | 3; pM1b | 4; pM1c,,,,,"MINIMAL - Preferably pathological pM, if not clinical cM",[histopat] = '0',Observation,"{""system"":""http://snomed.info/sct"",""code"":""1222591006"",""display"":""American Joint Committee on Cancer pathological M category allowable value (qualifier value)""}","{0:{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C48740"",""display"":""pM0 TNM Finding""},1:{""system"":""http://snomed.info/sct"",""code"":""1229916009"",""display"":""pM1""},2:{""system"":""http://snomed.info/sct"",""code"":""1229917000"",""display"":""pM1a""},3:{""system"":""http://snomed.info/sct"",""code"":""1229920008"",""display"":""pM1b""},4:{""system"":""http://snomed.info/sct"",""code"":""1229923005"",""display"":""pM1c""}}",
tnm_ct,ctmn (start),Yes ([histopat] = '0' AND [tnm_pt] = ''),No,Observation,dropdown,cT classification of the primary tumour,0; cTX | 1; cT0 | 2; cTis | 3; cT1 | 4; cT2 | 5; cT3 | 6; cT4 | 7; cT4a | 8; cT4b,,,,,"MINIMAL - Preferably pathological pT, if not clinical cT",[histopat] = '0',Observation,"{""system"":""http://snomed.info/sct"",""code"":""1222585009"",""display"":""American Joint Committee on Cancer clinical T category allowable value (qualifier value)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""1222604002"",""display"":""cTX""},1:{""system"":""http://snomed.info/sct"",""code"":""1228882005"",""display"":""cT0""},2:{""system"":""http://snomed.info/sct"",""code"":""1228884006"",""display"":""cTis""},3:{""system"":""http://snomed.info/sct"",""code"":""1228889001"",""display"":""cT1""},4:{""system"":""http://snomed.info/sct"",""code"":""1228929004"",""display"":""cT2""},5:{""system"":""http://snomed.info/sct"",""code"":""1228938002"",""display"":""cT3""},6:{""system"":""http://snomed.info/sct"",""code"":""1228944003"",""display"":""cT4""},7:{""system"":""http://snomed.info/sct"",""code"":""1228945002"",""display"":""cT4a""},8:{""system"":""http://snomed.info/sct"",""code"":""1228946001"",""display"":""cT4b""}}",
tnm_cn,ctmn,Yes ([histopat] = '0' AND [tnm_pn] = ''),No,Observation,dropdown,cN classification of the primary tumour,0; cNX | 1; cN0 | 2; cN1 | 3; cN2,,,,,"MINIMAL - Preferably pathological pN, if not clinical cN",[histopat] = '0',Observation,"{""system"":""http://snomed.info/sct"",""code"":""1222588006"",""display"":""American Joint Committee on Cancer clinical N category allowable value (qualifier value)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""1229966003"",""display"":""cNX""},1:{""system"":""http://snomed.info/sct"",""code"":""1229967007"",""display"":""cN0""},2:{""system"":""http://snomed.info/sct"",""code"":""1229973008"",""display"":""cN1""},3:{""system"":""http://snomed.info/sct"",""code"":""1229978004"",""display"":""cN2""}}",
tnm_cm,ctmn (end),Yes ([histopat] = '0' AND [tnm_pm] = ''),No,Observation,dropdown,cM classification of the primary tumour,0; cM0 | 1; cM1 | 2; cM1a | 3; cM1b | 4; cM1c,,,,,"MINIMAL - Preferably pathological pM, if not clinical cM",[histopat] = '0',Observation,"{""system"":""http://snomed.info/sct"",""code"":""1222587001"",""display"":""American Joint Committee on Cancer clinical M category allowable value (qualifier value)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""1229901006"",""display"":""cM0""},1:{""system"":""http://snomed.info/sct"",""code"":""1229903009"",""display"":""cM1""},2:{""system"":""http://snomed.info/sct"",""code"":""1229904003"",""display"":""cM1a""},3:{""system"":""http://snomed.info/sct"",""code"":""1229907005"",""display"":""cM1b""},4:{""system"":""http://snomed.info/sct"",""code"":""1229910003"",""display"":""cM1c""}}",
use_case_3_complete,,No,No,Form Status,dropdown,Complete?,0; Incomplete | 1; Unverified | 2; Complete,0,,,,,,,,,
