Variable/Field Name,Matrix Group Name,Minimal (Required),Mandatory,Section,Field Type,Label,Code,Default,Validation Type,Validation Min,Validation Max,Field Note,Branching Logic,FHIR Resource,FHIR - Question Coding,FHIR - Answer Coding,Note
famhisto_b,,No,No,Observation,dropdown,Family history - Breast cancer,0; none | 1; first degree | 2; second degree | 3; unknown,,,,,RECOMMENDED,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""416471007:64572001=372064008"",""display"":""Family history of clinical finding where Disease = Malignant neoplasm of female breast""}","{0:{""system"":""http://snomed.info/sct"",""code"":""260413007"",""display"":""None (qualifier value)""},1:{""system"":""http://snomed.info/sct"",""code"":""125678001"",""display"":""First degree blood relative""},2:{""system"":""http://snomed.info/sct"",""code"":""263868004"",""display"":""Second degree (qualifier value)""},3:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
famhisto_o,,No,No,Observation,dropdown,Family history - Ovarian cancer,0; none | 1; first degree | 2; second degree | 3; unknown,,,,,RECOMMENDED,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""416471007:64572001=363443007"",""display"":""Family history of clinical finding where Disease = Malignant tumour of ovary""}","{0:{""system"":""http://snomed.info/sct"",""code"":""260413007"",""display"":""None (qualifier value)""},1:{""system"":""http://snomed.info/sct"",""code"":""125678001"",""display"":""First degree blood relative""},2:{""system"":""http://snomed.info/sct"",""code"":""263868004"",""display"":""Second degree (qualifier value)""},3:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
laterality,,No,No,Biopsy 1,dropdown,Laterality of the lesion,0; Left | 1; Right,,,,,RECOMMENDED,,Observation,"[""bodySite""]","{0:{""system"":""http://snomed.info/sct"",""code"":""80248007"",""display"":""Left breast structure (body structure)""},1:{""system"":""http://snomed.info/sct"",""code"":""73056007"",""display"":""Right breast structure (body structure)""}}",
bcstproxy,,Yes ([patientclass] = '0'),Yes ([patientclass] = '0'),Biopsy 1,dropdown,Breast cancer subtype 'by-proxy',0; Basal-like/Triple negative | 1; Luminal A | 2; Luminal B- HER2 negative | 3; HER2 positive (enriched)/HR positive (luminal) | 4; HER2 positive(enriched)/HR negative (non-luminal),,,,,MINIMAL,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""372064008+260837004"",""display"":""Malignant neoplasm of female breast, and Subtype""}","{0:{""system"":""http://snomed.info/sct"",""code"":""706970001"",""display"":""Triple negative malignant neoplasm of breast (disorder)""},1:[{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""16112-5"",""display"":""Estrogen receptor [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""416053008"",""display"":""Estrogen receptor positive tumor (disorder)""}]}},{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""16113-3"",""display"":""Progesterone receptor [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""416561008"",""display"":""Progesterone receptor positive tumor (disorder)""}]}},{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""48676-1"",""display"":""HER2 [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""431396003"",""display"":""Human epidermal growth factor 2 negative carcinoma of breast (disorder)""}]}},{""code"":{""coding"":[{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C123557"",""display"":""Ki67 Measurement""}]},valueCodeableConcept:{""coding"":[{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C162076"",""display"":""MKI67 Negative""}]}}],2:[{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""16112-5"",""display"":""Estrogen receptor [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""416053008"",""display"":""Estrogen receptor positive tumor (disorder)""}]}},{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""16113-3"",""display"":""Progesterone receptor [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""416561008"",""display"":""Progesterone receptor positive tumor (disorder)""}]}},{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""48676-1"",""display"":""HER2 [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""431396003"",""display"":""Human epidermal growth factor 2 negative carcinoma of breast (disorder)""}]}},{""code"":{""coding"":[{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C123557"",""display"":""Ki67 Measurement""}]},valueCodeableConcept:{""coding"":[{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C146686"",""display"":""MKI67 Positive""}]}}],3:[{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""16112-5"",""display"":""Estrogen receptor [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""416053008"",""display"":""Estrogen receptor positive tumor (disorder)""}]}},{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""16113-3"",""display"":""Progesterone receptor [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""416561008"",""display"":""Progesterone receptor positive tumor (disorder)""}]}},{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""48676-1"",""display"":""HER2 [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""427685000"",""display"":""Human epidermal growth factor 2 positive carcinoma of breast (disorder)""}]}},{""code"":{""coding"":[{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C123557"",""display"":""Ki67 Measurement""}]},valueCodeableConcept:{""coding"":[{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C146686"",""display"":""MKI67 Positive""}]}}],4:[{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""16112-5"",""display"":""Estrogen receptor [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""441117001"",""display"":""Estrogen receptor negative neoplasm (disorder)""}]}},{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""16113-3"",""display"":""Progesterone receptor [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""441118006"",""display"":""Progesterone receptor negative neoplasm (disorder)""}]}},{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""48676-1"",""display"":""HER2 [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""427685000"",""display"":""Human epidermal growth factor 2 positive carcinoma of breast (disorder)""}]}}]}","{0:""Triple negative"",1:""Luminal A"",2:""Luminal B- HER2 negative"",3:""HER2 positive (enriched)/HR positive (luminal)"",4:""HER2 positive(enriched)/HR negative (non-luminal)""}"
bcst_pam50,,No,No,Biopsy 1,dropdown,Breast cancer molecular subtype (PAM50),0; Basal-like/Triple negative | 1; Luminal A | 2; Luminal B- HER2 negative | 3; HER2 positive (enriched)/HR positive (luminal) | 4; HER2 positive(enriched)/HR negative (non-luminal),,,,,RECOMMENDED,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""372064008+260837004"",""display"":""Malignant neoplasm of female breast, and Subtype""}","{0:{""system"":""http://snomed.info/sct"",""code"":""706970001"",""display"":""Triple negative malignant neoplasm of breast (disorder)""},1:[{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""16112-5"",""display"":""Estrogen receptor [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""416053008"",""display"":""Estrogen receptor positive tumor (disorder)""}]}},{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""16113-3"",""display"":""Progesterone receptor [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""416561008"",""display"":""Progesterone receptor positive tumor (disorder)""}]}},{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""48676-1"",""display"":""HER2 [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""431396003"",""display"":""Human epidermal growth factor 2 negative carcinoma of breast (disorder)""}]}},{""code"":{""coding"":[{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C123557"",""display"":""Ki67 Measurement""}]},valueCodeableConcept:{""coding"":[{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C162076"",""display"":""MKI67 Negative""}]}}],2:[{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""16112-5"",""display"":""Estrogen receptor [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""416053008"",""display"":""Estrogen receptor positive tumor (disorder)""}]}},{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""16113-3"",""display"":""Progesterone receptor [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""416561008"",""display"":""Progesterone receptor positive tumor (disorder)""}]}},{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""48676-1"",""display"":""HER2 [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""431396003"",""display"":""Human epidermal growth factor 2 negative carcinoma of breast (disorder)""}]}},{""code"":{""coding"":[{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C123557"",""display"":""Ki67 Measurement""}]},valueCodeableConcept:{""coding"":[{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C146686"",""display"":""MKI67 Positive""}]}}],3:[{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""16112-5"",""display"":""Estrogen receptor [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""416053008"",""display"":""Estrogen receptor positive tumor (disorder)""}]}},{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""16113-3"",""display"":""Progesterone receptor [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""416561008"",""display"":""Progesterone receptor positive tumor (disorder)""}]}},{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""48676-1"",""display"":""HER2 [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""427685000"",""display"":""Human epidermal growth factor 2 positive carcinoma of breast (disorder)""}]}},{""code"":{""coding"":[{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C123557"",""display"":""Ki67 Measurement""}]},valueCodeableConcept:{""coding"":[{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C146686"",""display"":""MKI67 Positive""}]}}],4:[{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""16112-5"",""display"":""Estrogen receptor [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""441117001"",""display"":""Estrogen receptor negative neoplasm (disorder)""}]}},{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""16113-3"",""display"":""Progesterone receptor [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""441118006"",""display"":""Progesterone receptor negative neoplasm (disorder)""}]}},{""code"":{""coding"":[{""system"":""http://loinc.org"",""code"":""48676-1"",""display"":""HER2 [Interpretation] in Tissue""}]},valueCodeableConcept:{""coding"":[{""system"":""http://snomed.info/sct"",""code"":""427685000"",""display"":""Human epidermal growth factor 2 positive carcinoma of breast (disorder)""}]}}]}","{0:""Triple negative"",1:""Luminal A"",2:""Luminal B- HER2 negative"",3:""HER2 positive (enriched)/HR positive (luminal)"",4:""HER2 positive(enriched)/HR negative (non-luminal)""}"
histopat,,No,Yes,Biopsy 1,dropdown,Histological type of tumour,0; Only ductal cancer | 1; Both ductal and lobular cancer | 2; Ductal and other types than lobular cancer | 3; Only lobular cancer | 4; Other invasive cancer | 5; DCIS | 6; LCIS | 7; DCIS and LCIS | 8; Other cancer in situ | 9; Benign,,,,,MANDATORY,,Condition,"[""code"":{""coding"":histopat}","{0:{""system"":""http://snomed.info/sct"",""code"":""3898006"",""display"":""Neoplasm, benign (morphologic abnormality)""},1:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8500/3"",""display"":""DUCT CARCINOMA/ Invasive carcinoma of no special type""},2:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8522/3"",""display"":""LOBULAR AND OTHER DUCTAL CA. / Infiltrating duct and lobular carcinoma""},3:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8523/3"",""display"":""LOBULAR AND OTHER DUCTAL CA. / Infiltr. duct mixed with other types of carcinoma""},4:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8520/3"",""display"":""LOBULAR AND OTHER DUCTAL CA. / Lobular carcinoma, NOS""},5:{""system"":""http://snomed.info/sct"",""code"":""713609000:410657003=74964007"",""display"":""Invasive carcinoma of breast where Type = Other""},6:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8500/2"",""display"":""DUCT CARCINOMA/ Intraductal carcinoma, noninfiltrating, NOS""},7:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8520/2"",""display"":""LOBULAR AND OTHER DUCTAL CA. / Lobular carcinoma insitu""},8:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8522/2"",""display"":""LOBULAR AND OTHER DUCTAL CA. / Intraductal and lobular in situ carcinoma""},9:{""system"":""http://snomed.info/sct"",""code"":""1187138006"",""display"":""Carcinoma in situ (morphologic abnormality)""}}",
histopat_2,,No,No,Biopsy 1,dropdown,Additional Histological Type of tumour (only if needed),0; Only ductal cancer | 1; Both ductal and lobular cancer | 2; Ductal and other types than lobular cancer | 3; Only lobular cancer | 4; Other invasive cancer | 5; DCIS | 6; LCIS | 7; DCIS and LCIS | 8; Other cancer in situ | 9; Benign,,,,,RECOMMENDED,"[histopat] <> """"",Condition,"[""code"":{""coding"":histopat_2}","{0:{""system"":""http://snomed.info/sct"",""code"":""3898006"",""display"":""Neoplasm, benign (morphologic abnormality)""},1:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8500/3"",""display"":""DUCT CARCINOMA/ Invasive carcinoma of no special type""},2:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8522/3"",""display"":""LOBULAR AND OTHER DUCTAL CA. / Infiltrating duct and lobular carcinoma""},3:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8523/3"",""display"":""LOBULAR AND OTHER DUCTAL CA. / Infiltr. duct mixed with other types of carcinoma""},4:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8520/3"",""display"":""LOBULAR AND OTHER DUCTAL CA. / Lobular carcinoma, NOS""},5:{""system"":""http://snomed.info/sct"",""code"":""713609000:410657003=74964007"",""display"":""Invasive carcinoma of breast where Type = Other""},6:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8500/2"",""display"":""DUCT CARCINOMA/ Intraductal carcinoma, noninfiltrating, NOS""},7:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8520/2"",""display"":""LOBULAR AND OTHER DUCTAL CA. / Lobular carcinoma insitu""},8:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8522/2"",""display"":""LOBULAR AND OTHER DUCTAL CA. / Intraductal and lobular in situ carcinoma""},9:{""system"":""http://snomed.info/sct"",""code"":""1187138006"",""display"":""Carcinoma in situ (morphologic abnormality)""}}",
histopat_3,,No,No,Biopsy 1,dropdown,Additional Histological Type of tumour (only if needed),0; Only ductal cancer | 1; Both ductal and lobular cancer | 2; Ductal and other types than lobular cancer | 3; Only lobular cancer | 4; Other invasive cancer | 5; DCIS | 6; LCIS | 7; DCIS and LCIS | 8; Other cancer in situ | 9; Benign,,,,,RECOMMENDED,"[histopat_2] <> """"",Condition,"[""code"":{""coding"":histopat_3}","{0:{""system"":""http://snomed.info/sct"",""code"":""3898006"",""display"":""Neoplasm, benign (morphologic abnormality)""},1:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8500/3"",""display"":""DUCT CARCINOMA/ Invasive carcinoma of no special type""},2:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8522/3"",""display"":""LOBULAR AND OTHER DUCTAL CA. / Infiltrating duct and lobular carcinoma""},3:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8523/3"",""display"":""LOBULAR AND OTHER DUCTAL CA. / Infiltr. duct mixed with other types of carcinoma""},4:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8520/3"",""display"":""LOBULAR AND OTHER DUCTAL CA. / Lobular carcinoma, NOS""},5:{""system"":""http://snomed.info/sct"",""code"":""713609000:410657003=74964007"",""display"":""Invasive carcinoma of breast where Type = Other""},6:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8500/2"",""display"":""DUCT CARCINOMA/ Intraductal carcinoma, noninfiltrating, NOS""},7:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8520/2"",""display"":""LOBULAR AND OTHER DUCTAL CA. / Lobular carcinoma insitu""},8:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8522/2"",""display"":""LOBULAR AND OTHER DUCTAL CA. / Intraductal and lobular in situ carcinoma""},9:{""system"":""http://snomed.info/sct"",""code"":""1187138006"",""display"":""Carcinoma in situ (morphologic abnormality)""}}",
tnm_ct,ctnm (start),No,Yes ([patientclass] = '0'),Biopsy 1,dropdown,Clinical t category (cT),0; cTX | 1; cT0 | 2; cTis | 3; cTis(DCIS) | 4; cTis(Paget) | 5; cT1 | 6; cT1mi | 7; cT1a | 8; cT1b | 9; cT1c | 10; cT2 | 11; cT3 | 12; cT4 | 13; cT4a | 14; cT4b | 15; cT4c | 16; cT4d,,,,,MANDATORY,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""1222585009"",""display"":""American Joint Committee on Cancer clinical T category allowable value (qualifier value)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""1222604002"",""display"":""cTX""},1:{""system"":""http://snomed.info/sct"",""code"":""1228882005"",""display"":""cT0""},2:{""system"":""http://snomed.info/sct"",""code"":""1228884006"",""display"":""cTis""},3:{""system"":""http://snomed.info/sct"",""code"":""1228885007"",""display"":""cTis(DCIS)""},4:{""system"":""http://snomed.info/sct"",""code"":""1228888009"",""display"":""cTis(Paget)""},5:{""system"":""http://snomed.info/sct"",""code"":""1228889001"",""display"":""cT1""},6:{""system"":""http://snomed.info/sct"",""code"":""1228892002"",""display"":""cT1a""},7:{""system"":""http://snomed.info/sct"",""code"":""1228895000"",""display"":""cT1b""},8:{""system"":""http://snomed.info/sct"",""code"":""1228899006"",""display"":""cT1c""},9:{""system"":""http://snomed.info/sct"",""code"":""1228891009"",""display"":""cT1mi""},10:{""system"":""http://snomed.info/sct"",""code"":""1228929004"",""display"":""cT2""},11:{""system"":""http://snomed.info/sct"",""code"":""1228938002"",""display"":""cT3""},12:{""system"":""http://snomed.info/sct"",""code"":""1228944003"",""display"":""cT4""},13:{""system"":""http://snomed.info/sct"",""code"":""1228945002"",""display"":""cT4a""},14:{""system"":""http://snomed.info/sct"",""code"":""1228946001"",""display"":""cT4b""},15:{""system"":""http://snomed.info/sct"",""code"":""1228947005"",""display"":""cT4c""},16:{""system"":""http://snomed.info/sct"",""code"":""1228948000"",""display"":""cT4d""}}",
tnm_cn,ctnm,No,Yes ([patientclass] = '0'),Biopsy 1,dropdown,Clinical n category (cN),0; cNX | 1; cN0 | 2; cN1 | 3; cN2 | 4; cN2a | 5; cN2b | 6; cN3 | 7; cN3a | 8; cN3b | 9; cN3c,,,,,MANDATORY,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""1222588006"",""display"":""American Joint Committee on Cancer clinical N category allowable value (qualifier value)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""1229966003"",""display"":""cNX""},1:{""system"":""http://snomed.info/sct"",""code"":""1229967007"",""display"":""cN0""},2:{""system"":""http://snomed.info/sct"",""code"":""1229973008"",""display"":""cN1""},3:{""system"":""http://snomed.info/sct"",""code"":""1229978004"",""display"":""cN2""},4:{""system"":""http://snomed.info/sct"",""code"":""1229981009"",""display"":""cN2a""},5:{""system"":""http://snomed.info/sct"",""code"":""1229982002"",""display"":""cN2b""},6:{""system"":""http://snomed.info/sct"",""code"":""1229984001"",""display"":""cN3""},7:{""system"":""http://snomed.info/sct"",""code"":""1229985000"",""display"":""cN3a""},8:{""system"":""http://snomed.info/sct"",""code"":""1229986004"",""display"":""cN3b""},9:{""system"":""http://snomed.info/sct"",""code"":""1229987008"",""display"":""cN3c""}}",
tnm_cm,ctnm (end),No,No,Biopsy 1,dropdown,Clinical m category (cM),0; cM0 | 1; cM1 | 2; cM1a | 3; cM1b | 4; cM1c | 5; cM1d,,,,,MANDATORY,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""1222587001"",""display"":""American Joint Committee on Cancer clinical M category allowable value (qualifier value)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""1229901006"",""display"":""cM0""},1:{""system"":""http://snomed.info/sct"",""code"":""1229903009"",""display"":""cM1""},2:{""system"":""http://snomed.info/sct"",""code"":""1229904003"",""display"":""cM1a""},3:{""system"":""http://snomed.info/sct"",""code"":""1229907005"",""display"":""cM1b""},4:{""system"":""http://snomed.info/sct"",""code"":""1229910003"",""display"":""cM1c""},5:{""system"":""http://snomed.info/sct"",""code"":""1229913001"",""display"":""cM1d""}}",
grade,,No,Yes ([patientclass] = '0'),Biopsy 1,dropdown,Grading of invasive tumours,0; G1 | 1; G2 | 2; G3 |3; Gx,,,,,MANDATORY,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""258244004"",""display"":""Tumor histopathological grade status values (tumor staging)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""1228845001"",""display"":""American Joint Committee on Cancer grade GX (qualifier value)""},1:{""system"":""http://snomed.info/sct"",""code"":""1228848004"",""display"":""American Joint Committee on Cancer grade G1 (qualifier value)""},2:{""system"":""http://snomed.info/sct"",""code"":""1228850007"",""display"":""American Joint Committee on Cancer grade G2 (qualifier value)""},3:{""system"":""http://snomed.info/sct"",""code"":""1228851006"",""display"":""American Joint Committee on Cancer grade G3 (qualifier value)""}}",
dcis,,No,Yes ([histopat] = '5' OR [histopat] = '7' OR [histopat_2] = '5' OR [histopat_2] = '7' OR [histopat_3] = '5' OR [histopat_3] = '7'),Biopsy 1,dropdown,Grading of DCIS,0; Grade 1 | 1; Grade 2 | 2; Grade 3,,,,,MANDATORY,[histopat] = '5' OR [histopat] = '7' OR [histopat_2] = '5' OR [histopat_2] = '7' OR [histopat_3] = '5' OR [histopat_3] = '7',,"{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C116341"",""display"":""DCIS Score""}","{0:{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C9457"",""display"":""DCIS Grade 1""},1:{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C9456"",""display"":""DCIS Grade 2""},2:{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C7949"",""display"":""DCIS Grade 3""}}",
